,t1_towerKills,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_towerKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
48941,9,3,1,2,9,2,5,1,2,1,1,1,2,1,2
48942,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
48943,11,4,1,1,3,0,2,0,2,1,1,1,1,0,1
48944,0,0,0,0,5,0,1,0,2,2,0,0,2,0,2
48945,1,0,0,0,10,2,2,0,1,2,2,0,2,2,2
48946,10,1,2,2,5,0,1,0,1,1,1,1,2,0,1
48947,10,1,2,0,2,0,1,0,1,1,1,0,1,1,1
48948,11,4,4,1,1,0,0,0,1,1,1,1,1,1,1
48949,0,0,0,0,7,0,3,0,1,2,0,0,2,2,2
48950,8,1,2,0,6,0,2,1,2,1,1,2,1,2,1
48951,0,0,0,0,9,1,1,0,2,2,2,0,2,2,2
48952,3,0,2,0,7,1,1,1,1,1,2,2,1,2,2
48953,10,2,2,1,3,0,1,0,1,1,1,1,2,0,1
48954,9,1,2,1,3,0,1,0,2,2,1,1,1,0,1
48955,7,0,5,1,9,3,1,1,2,1,2,1,1,0,2
48956,11,3,2,0,2,0,0,0,2,1,1,0,1,2,1
48957,2,0,1,0,11,2,1,0,2,1,2,0,1,0,2
48958,3,0,2,0,9,2,2,1,2,1,2,2,2,0,2
48959,4,1,2,0,3,0,0,0,1,2,1,0,1,0,1
48960,4,0,2,0,1,0,1,0,1,2,0,0,1,0,1
48961,9,2,3,0,8,1,1,2,1,1,1,2,1,0,2
48962,11,3,3,1,0,0,1,0,2,1,1,1,1,1,1
48963,2,0,2,0,9,2,1,1,2,2,2,2,2,0,2
48964,0,0,0,0,9,3,2,1,2,2,2,2,2,2,2
48965,8,1,0,1,9,3,5,0,1,2,2,1,2,0,2
48966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48967,11,4,3,1,1,0,0,0,2,1,1,1,1,1,1
48968,4,0,0,0,10,3,4,1,2,1,2,2,2,0,2
48969,3,0,1,0,9,2,3,1,2,2,2,2,2,1,2
48970,10,2,0,0,4,0,2,1,2,2,1,2,2,1,1
48971,2,0,1,0,11,4,3,1,2,2,2,2,2,2,2
48972,9,2,0,1,10,3,3,1,1,1,1,2,2,2,2
48973,5,0,1,0,10,3,3,0,2,1,2,0,2,1,2
48974,6,0,1,2,11,3,2,0,2,1,2,1,1,0,2
48975,8,2,3,2,7,1,4,1,1,1,1,2,2,1,1
48976,2,0,1,0,11,4,2,1,1,1,2,2,2,2,2
48977,9,1,2,0,1,0,0,0,1,1,1,0,1,1,1
48978,9,2,3,1,7,0,2,1,2,1,1,2,1,0,1
48979,10,2,2,0,0,0,1,0,1,1,1,0,2,1,1
48980,1,0,1,0,9,2,2,1,2,2,2,2,1,2,2
48981,0,0,0,0,10,2,2,0,2,2,2,0,2,2,2
48982,9,1,3,1,2,0,0,0,1,1,1,1,1,0,1
48983,10,2,4,1,4,0,0,0,1,2,1,1,1,0,1
48984,8,1,2,2,5,0,2,0,2,2,1,1,1,0,1
48985,7,1,3,1,7,0,0,0,1,2,1,1,1,2,1
48986,4,0,3,0,9,2,0,0,2,1,2,0,1,0,2
48987,2,0,0,0,7,1,2,0,1,2,2,0,2,2,2
48988,5,0,1,0,0,0,0,0,1,1,0,0,1,0,1
48989,4,0,1,0,2,0,0,0,1,1,0,0,1,0,1
48990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
