,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
156,0,0,0,2,4,0,1,2,2,0,2,2,2
157,1,2,2,0,2,0,2,1,1,1,1,0,1
158,1,2,0,0,0,0,1,2,1,0,1,1,1
159,0,1,0,0,0,0,1,1,0,0,1,0,1
160,2,4,0,0,1,2,2,2,1,2,1,2,1
161,0,1,0,3,2,1,1,1,2,2,1,0,2
162,2,1,1,0,0,0,1,1,1,1,1,1,1
163,1,2,0,0,0,0,1,2,1,0,1,0,1
164,4,3,1,0,0,0,2,1,1,1,1,2,1
165,2,1,0,1,3,2,1,1,1,2,2,1,2
166,2,1,1,0,1,0,1,1,1,1,1,0,1
167,1,0,2,0,4,0,2,2,1,1,2,2,1
168,0,0,0,2,5,1,2,2,2,2,2,2,2
169,0,0,0,0,0,0,1,1,0,0,0,0,1
170,2,1,1,0,2,0,1,2,1,1,2,1,1
171,1,3,1,2,1,0,1,2,2,1,1,2,1
172,0,1,0,3,1,1,2,2,2,2,1,0,2
173,0,1,0,1,2,0,1,1,2,0,2,0,2
174,1,2,0,0,0,0,2,1,1,0,1,0,1
175,0,0,0,2,2,1,2,1,2,2,2,0,2
176,1,1,0,0,0,0,1,1,1,0,1,1,1
177,0,2,0,1,2,0,1,2,2,0,1,2,2
178,1,0,0,0,0,0,2,1,1,0,0,0,1
179,0,0,0,2,2,1,1,2,2,2,2,2,2
180,1,2,0,0,0,0,1,1,1,0,1,0,1
181,0,0,0,4,1,0,2,2,2,0,2,0,2
182,0,0,1,3,4,0,2,2,2,1,2,0,2
183,0,0,1,2,4,0,2,1,2,1,2,0,2
184,1,3,1,0,2,1,1,2,1,2,1,0,1
185,2,3,0,0,0,0,2,1,1,0,1,0,1
186,1,2,1,0,1,0,1,2,1,1,1,0,1
187,3,3,1,0,0,0,1,1,1,1,1,1,1
188,2,0,1,0,4,1,2,2,1,1,2,2,1
189,0,0,0,3,3,2,1,2,2,2,2,1,2
190,2,1,2,0,3,0,2,2,1,1,2,1,1
191,0,1,0,3,1,0,1,2,2,0,2,0,2
192,0,2,0,2,1,0,2,2,2,0,1,0,2
193,3,1,0,0,3,0,1,2,1,0,2,0,1
194,0,3,0,1,0,0,1,1,2,0,1,0,2
195,0,0,0,2,4,2,2,2,2,2,2,1,2
196,2,1,1,1,2,0,2,2,1,1,2,2,1
197,0,1,1,1,3,0,1,1,2,1,2,1,2
198,4,2,0,0,0,0,2,1,1,0,1,1,1
199,3,2,0,0,2,1,2,2,1,2,2,0,1
200,3,2,1,0,0,0,1,1,1,1,1,1,1
201,3,2,0,0,0,0,1,1,1,0,1,2,1
202,1,2,0,0,0,0,2,1,1,0,1,0,1
203,0,2,0,1,1,0,1,1,2,0,1,0,2
204,3,3,1,0,0,0,1,1,1,1,1,1,1
205,0,0,0,3,2,0,1,1,2,0,2,0,2
206,1,3,0,2,1,1,1,1,1,2,1,1,2
207,3,2,0,0,0,0,1,1,1,0,1,0,1
208,0,4,1,2,1,0,2,1,2,1,2,0,2
209,2,2,1,0,1,0,2,2,1,1,2,2,1
210,0,1,0,0,1,0,1,1,0,0,1,1,1
211,1,3,1,0,1,1,2,2,1,2,2,0,1
212,0,0,0,1,2,1,1,2,2,2,2,2,2
213,0,0,0,2,3,1,2,2,2,2,2,2,2
214,1,0,2,3,4,1,1,2,1,1,2,2,2
215,0,0,0,3,4,1,2,2,2,2,2,2,2
216,4,3,1,0,1,1,1,1,1,1,1,2,1
217,2,0,1,0,2,0,1,2,1,1,2,0,1
218,0,0,0,4,3,1,2,2,2,2,2,2,2
219,4,3,1,0,0,0,1,1,1,1,1,1,1
220,0,2,2,1,2,1,2,1,2,1,1,0,2
221,0,1,0,2,4,1,2,2,2,2,2,0,2
222,0,0,0,1,1,0,2,2,2,0,2,2,2
223,1,1,0,2,1,0,1,1,1,0,1,0,2
224,0,2,0,2,2,2,1,1,2,2,2,2,2
225,2,0,0,0,0,0,1,1,1,0,0,0,1
226,3,3,1,0,0,0,2,1,1,1,1,1,1
227,0,0,0,3,3,1,2,2,2,2,2,0,2
228,0,0,0,1,3,1,1,2,2,2,2,2,2
229,1,1,0,0,0,0,1,1,1,0,1,1,1
230,3,1,0,0,1,0,1,1,1,0,1,0,1
231,0,0,1,1,4,0,1,2,2,1,2,1,2
232,1,3,2,4,2,0,1,1,2,1,2,2,1
233,1,3,1,0,0,0,2,1,1,1,1,1,1
234,0,3,1,1,0,0,2,1,2,1,1,1,2
235,1,1,1,0,2,0,1,2,1,1,2,2,1
236,0,2,1,2,1,1,1,2,2,1,1,2,2
237,3,1,1,0,1,0,2,1,1,1,2,0,1
238,0,1,0,1,3,1,2,2,2,2,1,2,2
239,0,3,0,3,2,1,1,1,2,2,1,1,2
240,2,1,1,0,2,0,2,2,1,1,2,1,1
241,0,0,1,2,4,1,1,1,2,1,2,1,2
242,0,0,0,1,3,0,2,2,2,0,2,0,2
243,0,0,0,2,3,1,2,2,2,2,2,2,2
244,0,0,0,0,1,0,1,2,0,0,2,0,2
245,0,0,0,0,2,0,1,2,0,0,2,0,2
246,1,1,0,0,1,0,2,1,1,0,2,1,1
247,0,0,1,5,5,1,2,2,2,1,2,2,2
248,0,0,0,2,2,0,1,2,2,0,2,1,2
249,0,3,0,0,1,1,1,2,0,2,1,2,2
250,0,1,0,2,3,1,2,2,2,2,1,0,2
251,2,0,0,0,0,0,1,1,1,0,0,1,1
252,0,0,1,1,4,0,1,1,2,1,2,1,2
253,0,0,0,2,3,0,2,2,2,0,2,0,2
254,0,2,0,1,2,1,2,1,2,2,1,2,2
255,0,0,0,4,4,1,1,2,2,2,2,2,2
256,0,0,0,5,2,1,2,2,2,2,2,0,2
257,1,3,0,0,0,0,2,1,1,0,1,0,1
258,1,2,0,0,0,0,2,1,1,0,1,1,1
259,2,2,1,0,0,0,1,1,1,1,1,0,1
260,0,1,0,0,0,0,1,1,0,0,1,2,2
261,3,3,2,0,1,0,1,1,1,1,1,1,1
262,1,4,1,0,0,0,1,1,1,1,1,0,1
263,2,1,0,0,2,0,1,1,1,0,1,1,1
264,2,2,1,2,3,1,2,1,2,1,2,0,1
265,2,3,1,0,0,0,1,1,1,1,1,0,1
266,1,4,1,3,1,2,1,2,2,2,2,0,2
267,0,2,0,2,2,0,2,2,2,0,2,0,2
268,0,0,0,0,1,0,2,2,0,0,2,0,2
269,0,0,0,0,3,1,1,1,0,2,2,0,2
270,0,0,0,1,1,0,1,2,2,0,2,0,2
271,2,4,1,2,0,1,1,1,1,1,1,1,2
272,2,1,0,2,4,1,2,2,2,2,2,0,1
273,3,3,1,0,0,0,2,1,1,1,1,2,1
274,0,2,1,3,2,0,1,2,2,1,2,0,2
275,1,3,2,0,0,0,2,1,1,1,1,0,1
276,0,0,0,0,0,0,1,0,0,0,0,0,1
277,0,0,0,2,3,1,1,2,2,2,2,2,2
278,0,0,0,0,2,0,2,2,0,0,2,2,2
279,0,1,0,1,2,0,2,2,2,0,1,0,2
280,3,1,0,1,1,1,2,2,2,2,2,2,1
281,3,2,0,0,0,0,1,2,1,0,1,0,1
282,2,0,1,0,1,0,2,1,1,1,2,1,1
283,1,1,0,0,3,0,1,1,1,0,2,2,1
284,2,1,1,0,1,0,2,2,1,1,2,2,1
285,3,3,1,0,0,0,1,1,1,1,1,1,1
286,0,0,1,1,3,0,1,2,2,1,2,0,2
287,1,0,0,0,1,0,1,1,1,0,2,0,1
288,0,1,2,2,3,0,2,1,2,1,1,0,2
289,0,2,0,4,2,2,2,1,2,2,1,2,2
290,0,1,0,1,2,1,1,1,2,2,2,0,2
291,1,3,0,0,1,0,2,1,1,0,2,1,1
292,2,2,0,0,2,1,1,1,1,2,2,2,1
293,1,1,1,1,2,1,2,2,2,2,2,1,1
294,1,1,0,0,0,0,1,1,1,0,1,0,1
295,1,1,0,2,1,1,2,2,1,2,2,1,2
296,1,1,1,1,1,0,1,1,2,1,1,0,1
297,0,1,0,1,2,1,1,2,2,2,1,1,2
298,3,2,0,0,0,0,2,1,1,0,1,0,1
299,2,3,0,0,0,0,1,1,1,0,1,1,1
300,0,1,1,1,2,1,2,2,2,2,1,1,1
301,0,0,0,1,2,0,2,1,2,0,2,0,2
302,0,1,0,2,1,0,1,2,2,0,1,0,2
303,1,3,2,0,0,0,1,1,1,1,1,1,1
304,2,4,1,0,0,0,1,1,1,1,1,1,1
305,0,0,0,2,2,1,2,2,2,2,2,0,2
306,0,1,0,2,1,1,1,2,2,2,2,2,2
307,1,1,0,0,2,0,1,2,1,0,2,0,1
308,0,0,0,2,2,1,2,2,2,2,2,2,2
309,3,5,1,0,0,1,1,1,1,2,1,0,1
310,1,1,1,1,2,0,2,2,1,1,2,2,1
311,1,3,0,3,2,1,1,2,2,2,1,1,1
312,1,1,0,1,2,1,2,1,1,2,1,1,2
313,1,2,0,0,2,0,2,2,1,0,2,2,1
314,0,2,0,1,1,1,2,2,2,2,1,2,2
315,0,3,0,6,3,3,1,1,2,2,1,2,2
316,3,1,0,2,3,1,1,1,1,2,2,0,2
317,2,2,0,0,0,0,2,1,1,0,1,0,1
318,1,2,0,0,0,0,1,1,1,0,1,1,1
319,1,2,0,0,0,0,2,1,1,0,1,1,1
320,3,2,0,0,0,0,1,1,1,0,1,0,1
321,0,0,0,0,0,0,1,2,0,0,0,2,2
322,1,2,1,0,0,0,1,1,1,1,1,0,1
323,0,0,0,4,3,1,2,2,2,2,2,2,2
324,0,0,0,2,1,0,1,2,2,0,2,1,2
325,0,2,0,0,0,0,2,1,0,0,1,0,2
326,5,4,2,0,0,0,2,1,1,1,1,1,1
327,1,3,1,0,1,0,2,1,1,1,1,0,1
328,1,1,0,0,0,0,1,1,1,0,1,0,1
329,0,1,0,1,3,0,2,2,2,0,1,0,2
330,0,0,0,0,2,0,2,2,0,0,2,2,2
331,2,1,0,0,1,0,2,1,1,0,1,1,1
332,0,0,0,0,1,0,2,2,0,0,2,2,2
333,2,4,2,1,0,0,2,1,1,1,1,0,1
334,0,1,0,1,1,1,2,2,2,2,1,1,2
335,0,1,0,0,2,0,1,1,0,0,2,0,1
336,1,2,0,0,1,0,1,1,1,0,2,1,1
337,0,0,0,0,1,0,2,2,0,0,2,2,2
338,1,3,1,0,0,0,1,2,1,1,1,0,1
339,0,0,1,2,3,1,1,1,2,2,2,0,2
340,1,2,1,1,1,1,1,2,1,1,2,2,2
341,0,2,0,1,2,1,2,2,2,2,2,2,2
342,1,1,0,2,3,1,1,1,1,2,2,0,2
343,0,0,0,0,1,0,1,2,0,0,2,0,2
344,1,2,0,0,0,0,1,1,1,0,1,1,1
345,1,2,1,0,2,0,1,2,1,1,2,1,1
346,4,4,1,0,0,0,1,1,1,1,1,2,1
347,0,2,0,0,0,0,2,1,0,0,1,0,1
348,0,1,0,2,1,1,2,1,2,2,1,0,2
349,0,0,0,1,3,0,1,2,2,0,2,2,2
